Province,City_District,Region_Type,Industry_Type,User_Type,Age_Group,Gender,Year_Month,User_Count,Transaction_Count,Transaction_Amount
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,30s,F,2018-12,252,322,20334000
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,30s,M,2018-12,754,997,114918200
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,Under_20,F,2018-12,7,13,559700
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,Under_20,M,2018-12,4,6,585500
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,20s,F,2018-12,378,468,22051700
Jeju-do,Jeju-si,Urban,Entertainment,Domestic_Tourist,20s,M,2018-12,538,734,39909955
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,60s_and_above,F,2018-12,9619,16917,553040525
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,60s_and_above,M,2018-12,17456,34829,1386168632
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,50s,F,2018-12,22271,47983,1426704390
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,50s,M,2018-12,31612,73241,2677623804
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,40s,F,2018-12,32684,80019,2001259416
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,40s,M,2018-12,37971,91126,3072843541
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,30s,F,2018-12,26450,61995,1392458502
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,30s,M,2018-12,29911,71942,2012042808
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,Under_20,F,2018-12,1922,4526,54922167
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,Under_20,M,2018-12,1703,4087,59242442
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,20s,F,2018-12,22609,58885,1079710520
Jeju-do,Jeju-si,Urban,Food_Beverage,Jeju_Resident,20s,M,2018-12,20183,52283,1177177852
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,60s_and_above,F,2018-12,3432,4683,169156209
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,60s_and_above,M,2018-12,6503,9620,384008936
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,50s,F,2018-12,8738,12195,401238930
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,50s,M,2018-12,15710,24658,973177635
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,40s,F,2018-12,11686,17544,530041047
Jeju-do,Jeju-si,Urban,Food_Beverage,Domestic_Tourist,40s,M,2018-12,18443,29954,998648314
